id,series,title,author,genre1,genre2,genre3,rating,count,date
1,Harry Potter,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy,Young Adult,Fiction,4.57,2804838,2022/03/18
2,Harry Potter,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy,Young Adult,Fiction,4.5,2895854,2022/03/18
3,Harry Potter,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,Fiction,Young Adult,4.48,8382041,2022/03/18
4,Harry Potter,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,Fiction,Young Adult,4.43,3234090,2022/03/18
5,Harry Potter,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,Young Adult,Fiction,4.58,3388686,2022/03/18
6,Harry Potter,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,Young Adult,Fiction,4.57,3022594,2022/03/18
7,Harry Potter,The Harry Potter Collection,J.K. Rowling,Fantasy,Fiction,Young Adult,4.72,31840,2022/03/18
8,,|Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)|,J.K. Rowling,Fantasy,Young Adult,Fiction,4.77,82048,2022/03/18
9,,Unauthorized Harry Potter Book Seven News: "Half-Blood Prince" Analysis and Speculation,W. Frederick Zimmerman,,,,3.76,29,2022/03/18
10,Harry Potter,Harry Potter Collection,J.K. Rowling,Fantasy,Fiction,Young Adult,4.72,31840,2022/03/18
11,The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,Fiction,Humor,4.22,1620281,2022/03/18
12,The Hitchhiker's Guide to the Galaxy,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Douglas Adams,Science Fiction,Fiction,Humor,4.37,304393,2022/03/18
13,The Hitchhiker's Guide to the Galaxy,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,Fiction,Humor,4.37,304393,2022/03/18
14,The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,Fiction,Humor,4.22,1620281,2022/03/18
15,,The Hitchhiker's Guide to Lean: Lessons from the Road,Jamie Flinchbaugh,Business,,,3.75,85,2022/03/18
16,The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,Fiction,Humor,4.22,1620281,2022/03/18
17,Hitchhiker's Guide BBC Radio Series,The Hitchhiker's Guide to the Galaxy: Quandary Phase,Douglas Adams,Science Fiction,Audiobook,Humor,4.35,811,2022/03/18
18,The Hitchhiker's Guide to the Galaxy,The Ultimate Hitchhiker's Guide,Douglas Adams,Science Fiction,Fiction,Humor,4.37,304393,2022/03/18
19,Hitchhiker's Guide BBC Radio Series,The Hitchhiker's Guide to the Galaxy: Quintessential Phase,Douglas Adams,Science Fiction,Humor,Audiobook,4.37,772,2022/03/18
20,,,,,,,,,
21,,A Short History of Nearly Everything,Bill Bryson,Nonfiction,Science,History,4.2,342989,2022/03/18
22,,Bill Bryson's African Diary,Bill Bryson,Travel,Nonfiction,Cultural,3.46,9166,2022/03/18
23,,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,Nonfiction,Language,Writing,3.88,2920,2022/03/18
24,,In a Sunburned Country,Bill Bryson,Travel,Nonfiction,Humor,4.07,100750,2022/03/18
25,,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,Nonfiction,Travel,Humor,3.89,63906,2022/03/18
26,,The Lost Continent: Travels in Small Town America,Bill Bryson,Travel,Nonfiction,Humor,3.81,57418,2022/03/18
27,Bryson and Katz,Neither Here nor There: Travels in Europe,Bill Bryson,Travel,Nonfiction,Humor,3.85,69164,2022/03/18
28,Notes from a Small Island,Notes from a Small Island,Bill Bryson,Travel,Nonfiction,Humor,3.91,104416,2022/03/18
29,,The Mother Tongue: English and How It Got That Way,Bill Bryson,Nonfiction,History,Humanities,3.91,38681,2022/03/18
30,The Lord of the Rings,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Fantasy,Fiction,Classics,4.6,121339,2022/03/18
31,The Lord of the Rings,The Lord of the Rings,J.R.R. Tolkien,Fantasy,Classics,Fiction,4.51,612925,2022/03/18
32,The Lord of the Rings,The Lord of the Rings,J.R.R. Tolkien,Fantasy,Classics,Fiction,4.51,612925,2022/03/18
33,The Lord of the Rings,The Lord of the Rings,J.R.R. Tolkien,Fantasy,Classics,Fiction,4.51,612925,2022/03/18
34,The Lord of the Rings,The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,Classics,Fiction,4.38,2555184,2022/03/18
35,The Lord of the Rings,The Lord of the Rings,J.R.R. Tolkien,Fantasy,Classics,Fiction,4.51,612925,2022/03/18
36,,The Lord of the Rings: Weapons and Warfare,Chris   Smith,Fantasy,Art,Fiction,4.59,50547,2022/03/18
37,The Lord of the Rings: Visual Companion),The Lord of the Rings: Complete Visual Companion,Jude Fisher,Fantasy,Reference,Media Tie In,4.5,398,2022/03/18
38,The Lord of the Rings,The Lord of the Rings Box Set,J.R.R. Tolkien,Fantasy,Classics,Fiction,4.51,612925,2022/03/18
39,,The Lord of the Rings,Brian Sibley,Fantasy,Fiction,Audiobook,4.75,13632,2022/03/18
40,Gerald Samper,Cooking with Fernet Branca,James Hamilton-Paterson,Fiction,Humor,Cultural,3.61,1621,2022/03/18
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,Computer Science,Programming,Science,3.84,2145,2022/03/18
46,,Ruby Quickly: Ruby and Rails for the Real World,Mark   Watson,,,,3.4,5,2022/03/18
47,,,,,,,,,
48,,The Bucaneers,Edith Wharton,Classics,Fiction,Historical,3.9,5957,2022/03/18
49,,Bucaneer,Luther Butler,,,,3.57,7,2022/03/18
50,Brian's Saga,Hatchet,Gary Paulsen,Young Adult,Fiction,Adventure,3.75,345788,2022/03/18
