"id","series","title","author","genre1","genre2","genre3","rating","count","date"
"101","","Chasing Jordan","Heidi W. Boehringer","","","","3.45","40","2022/03/18"
"102","","Seven-Year Seduction","Heidi Betts","Category Romance","Harlequin","Romance","3.6","93","2022/03/18"
"103","Dune","God Emperor of Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","3.87","82835","2022/03/18"
"104","Dune","Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","4.25","1044749","2022/03/18"
"105","Dune","Chapterhouse: Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","3.91","53845","2022/03/18"
"106","Dune","Dune Messiah","Frank Herbert","Science Fiction","Fiction","Fantasy","3.89","190663","2022/03/18"
"107","Dune Universe","Dreamer of Dune: The Biography of Frank Herbert","Brian Herbert","Biography","Nonfiction","Science Fiction Fantasy","4.02","931","2022/03/18"
"108","","The Secrets of Frank Herbert's Dune","James Van Hise","Nonfiction","","","3.57","49","2022/03/18"
"109","Dune","Heretics of Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","3.88","63982","2022/03/18"
"110","Dune","The Road to Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","3.89","5519","2022/03/18"
"111","Dune","Dios emperador de Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","3.87","82835","2022/03/18"
"112","Dune","Children of Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","3.95","135685","2022/03/18"
"113","Dune","Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","4.25","1044749","2022/03/18"
"114","Dune","Dune Trilogy Box Set","Frank Herbert","Science Fiction","Fiction","Fantasy","4.37","58753","2022/03/18"
"115","","Worlds Beyond Dune Box","Frank Herbert","","","","4.14","7","2022/03/18"
"116","Dune","The Dune Encyclopedia","Willis Everett McNelly","Science Fiction","Fiction","Reference","4.1","4104","2022/03/18"
"117","Dune","Heretics of Dune","Frank Herbert","Science Fiction","Fiction","Fantasy","3.88","63982","2022/03/18"
"118","Dune","The Battles of Dune","Felix  Salten","Science Fiction","Fantasy","Fiction","4.17","459","2022/03/18"
"119","The Art of The Lord of the Rings","The Lord of the Rings: The Art of the Fellowship of the Ring","Gary Russell","Fantasy","Art","Fiction","4.61","98532","2022/03/18"
"120","","The Trust: The Private and Powerful Family behind the New York Times","Susan E. Tifft","Writing","Journalism","Nonfiction","4.0","173","2022/03/18"
"121","","The Patriarch: The Rise and Fall of the Bingham Dynasty","Susan E. Tifft","Biography","","","3.73","26","2022/03/18"
"122","The Power of One","The Power of One","Bryce Courtenay","Fiction","Historical","Historical Fiction","4.33","83727","2022/03/18"
"123","The Power of One","The Power of One","Bryce Courtenay","Fiction","Historical","Historical Fiction","4.33","83727","2022/03/18"
"124","","Lose Weight with The Power of One: A Motivational Journey to Nutritional Sanity","Stephen   Moss","","","","4.33","9","2022/03/18"
"125","","The Power of One: Daisy Bates and the Little Rock Nine","Dennis Brindell Fradin","Biography","Nonfiction","North American Hi...","4.38","42","2022/03/18"
"126","The Power of One","The Power of One","Bryce Courtenay","Fiction","Historical","Historical Fiction","4.33","83727","2022/03/18"
"127","Heroes Unlimited","Powers Unlimited One: A Sourcebook for Heroes Unlimited","Carmen Bellaire","Games","Role Playing Games","","4.14","22","2022/03/18"
"128","","The Power of One Christlike Life","Francis Frangipane","","","","4.26","43","2022/03/18"
"129","","The Power of One: One Person, One Rule, One Month","John C. Maxwell","Business","Leadership","Self Help","4.22","18","2022/03/18"
"130","","Power of an Hour: Business and Life Mastery in One Hour a Week","Dave Lakhani","Business","Self Help","Productivity","3.32","231","2022/03/18"
"131","","The Power of One: The Solo Play for Playwrights, Actors, and Directors","Louis E. Catron","","","","3.67","15","2022/03/18"
"132","","How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days","Adam Ginsberg","Business","","","3.48","97","2022/03/18"
"133","","eBay for Dummies","Marsha Collier","Reference","Nonfiction","Business","3.5","230","2022/03/18"
"134","","eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers","Debra Schepp","Business","","","3.62","65","2022/03/18"
"135","","What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond","Chris Malta","","","","3.69","26","2022/03/18"
"136","","Titanium eBay: A Tactical Guide to Becoming a Millionaire PowerSeller","Skip McGrath","Business","Nonfiction","","4.07","57","2022/03/18"
"137","","Starting an eBay Business for Dummies","Marsha Collier","Business","Nonfiction","Reference","3.54","118","2022/03/18"
