"2001","","J.K. Rowling","Ann Gaines","2001","Nonfiction","Biography","","4.14","98","2022/03/20"
"2002","Hogwarts Library","Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry","J.K. Rowling","2001","Fantasy","Fiction","Young Adult","4.38","12902","2022/03/20"
"2003","","","","","","","","","","2022/03/20"
"2004","Continuum Contemporaries","J.K. Rowling's Harry Potter Novels: A Reader's Guide","Philip Nel","","Nonfiction","","","3.67","81","2022/03/20"
"2005","Harry Potter","Harry Potter and the Half-Blood Prince","J.K. Rowling","2005","Fantasy","Young Adult","Fiction","4.57","2805947","2022/03/20"
"2006","","Dave Thomas (Overcoming Adversity)","Nancy Peacock","1999","","","","3.5","6","2022/03/20"
"2007","","Dave Thomas: Honesty Pays","Barbara Kramer","2005","","","","3.0","1","2022/03/20"
"2008","","Dave's Way","Rex David Thomas","1991","Business","Biography","Nonfiction","4.02","135","2022/03/20"
"2009","","","","","","","","","","2022/03/20"
"2010","","The Santaroga Barrier","Frank Herbert","1968","Science Fiction","Fiction","Fantasy","3.67","2043","2022/03/20"
"2011","ConSentiency Universe","The Dosadi Experiment","Frank Herbert","1977","Science Fiction","Fiction","Science Fiction Fantasy","3.82","7126","2022/03/20"
"2012","ConSentiency Universe","Whipping Star","Frank Herbert","1969","Science Fiction","Fiction","Science Fiction Fantasy","3.67","3338","2022/03/20"
"2013","The Pandora Sequence","The Jesus Incident","Frank Herbert","1979","Science Fiction","Fiction","Science Fiction Fantasy","3.73","5209","2022/03/20"
"2014","The Pandora Sequence","The Lazarus Effect","Frank Herbert","1983","Science Fiction","Fiction","Fantasy","3.76","3578","2022/03/20"
"2015","","The Eyes of Heisenberg","Frank Herbert","1966","Science Fiction","Fiction","Science Fiction Fantasy","3.43","1893","2022/03/20"
"2016","The Baroque Cycle","King of the Vagabonds","Neal Stephenson","2004","Historical","Historical Fiction","Fiction","4.17","2248","2022/03/20"
