"401","Bloom's Modern Critical Interpretations","Don DeLillo's White Noise","Harold Bloom","","","","3.66","35","2022/03/18"
"402","","Mao II","Don DeLillo","Fiction","Novels","Literature","3.68","10694","2022/03/18"
"403","","Americana","Don DeLillo","Fiction","Literature","American","3.41","5377","2022/03/18"
"404","","Running Dog","Don DeLillo","Fiction","Literature","American","3.45","1916","2022/03/18"
"405","","Ratner's Star","Don DeLillo","Fiction","Science Fiction","Literature","3.47","2024","2022/03/18"
"406","","Cosmopolis","Don DeLillo","Fiction","Contemporary","Novels","3.24","15853","2022/03/18"
"407","","Great Jones Street","Don DeLillo","Fiction","Music","Literature","3.48","3207","2022/03/18"
"408","","The Names","Don DeLillo","Fiction","Literature","American","3.64","4008","2022/03/18"
"409","","Against the Day","Thomas Pynchon","Fiction","Historical","Historical Fiction","3.95","9810","2022/03/18"
"410","","V.","Thomas Pynchon","Fiction","Classics","Literature","3.95","21758","2022/03/18"
"411","","The Crying of Lot 49","Thomas Pynchon","Fiction","Classics","Literature","3.69","78283","2022/03/18"
"412","","Gravity's Rainbow","Thomas Pynchon","Fiction","Classics","Science Fiction","3.98","40890","2022/03/18"
"413","","Mason & Dixon","Thomas Pynchon","Fiction","Historical","Historical Fiction","4.1","10102","2022/03/18"
"414","","Vineland","Thomas Pynchon","Fiction","Literature","Novels","3.7","10416","2022/03/18"
"415","","Gravity's Rainbow","Thomas Pynchon","Fiction","Classics","Science Fiction","3.98","40890","2022/03/18"
"416","","Slow Learner: Early Stories","Thomas Pynchon","Fiction","Short Stories","Literature","3.51","4467","2022/03/18"
"417","Bloom's Modern Critical Views","Thomas Pynchon","Harold Bloom","","","","3.63","27","2022/03/18"
"418","","Been Down So Long It Looks Like Up to Me","Richard Fariña","Fiction","Novels","Classics","3.8","3108","2022/03/18"
"419","","Vintage Didion","Joan Didion","Writing","Essays","Nonfiction","4.09","473","2022/03/18"
"420","","The Year of Magical Thinking","Joan Didion","Nonfiction","Autobiography","Memoir","3.91","178460","2022/03/18"
"421","","The White Album","Joan Didion","Nonfiction","Writing","Essays","4.13","23231","2022/03/18"
"422","","A Book of Common Prayer","Joan Didion","Fiction","Novels","Literary Fiction","3.8","4088","2022/03/18"
"423","","Where I Was From","Joan Didion","Nonfiction","Autobiography","Memoir","3.88","4122","2022/03/18"
"424","","Slouching Towards Bethlehem","Joan Didion","Nonfiction","Writing","Essays","4.19","47852","2022/03/18"
"425","","Democracy","Joan Didion","Fiction","Politics","Historical","3.84","2750","2022/03/18"
"426","","We Tell Ourselves Stories in Order to Live: Collected Nonfiction","Joan Didion","Writing","Essays","Nonfiction","4.47","1813","2022/03/18"
"427","","Miami","Joan Didion","Nonfiction","Writing","Essays","3.68","1625","2022/03/18"
"428","","Play It As It Lays","Joan Didion","Fiction","Classics","Novels","3.9","39648","2022/03/18"
"429","","Amazons: An Intimate Memoir by the First Woman Ever to Play in the National Hockey League","Cleo Birdwell","Sports","Sports","Fiction","3.71","150","2022/03/18"
"430","","Amazons","Cleo Birdwell","Sports","Sports","Fiction","3.71","150","2022/03/18"
"431","New York Trilogy","The New York Trilogy","Paul Auster","Fiction","Mystery","Literature","3.88","67711","2022/03/18"
"432","New York Trilogy","City of Glass","Paul Auster","Fiction","Mystery","Literature","3.79","17046","2022/03/18"
"433","New York Trilogy","The New York Trilogy: City of Glass / Ghosts / The Locked Room","Paul Auster","Fiction","Mystery","Literature","3.88","67711","2022/03/18"
"434","New York Trilogy","Ghosts","Paul Auster","Fiction","Mystery","Literature","3.63","5378","2022/03/18"
"435","New York Trilogy","The Locked Room","Paul Auster","Fiction","Mystery","Literature","3.88","4518","2022/03/18"
"436","New York Trilogy","La trilogía de Nueva York","Paul Auster","Fiction","Mystery","Literature","3.88","67711","2022/03/18"
"437","New York Trilogy","The New York Trilogy","Paul Auster","Fiction","Mystery","Literature","3.88","67711","2022/03/18"
"438","","New York Trilogy: New York Underground, Trapped, Love and Sex","Paul Hallasy","","","","5.0","2","2022/03/18"
"439","Virex Trilogy","New York Dreams","Eric Brown","Science Fiction","Science Fiction","Cyberpunk","3.7","46","2022/03/18"
"440","Virex Trilogy","New York Nights","Eric Brown","Science Fiction","Science Fiction","Cyberpunk","3.54","83","2022/03/18"
"441","New York Trilogy","The New York Trilogy","Paul Auster","Fiction","Mystery","Literature","3.88","67711","2022/03/18"
"442","","New York Trilogy   Whodunit?","Anne Holzapfel","","","","5.0","2","2022/03/18"
"443","Virex Trilogy","New York Blues","Eric Brown","Science Fiction","Science Fiction","Cyberpunk","3.88","40","2022/03/18"
"444","The Montauk Books","Pyramids of Montauk: Explorations in Consciousness","Peter Moon","Pseudoscience","Conspiracy Theories","","3.91","92","2022/03/18"
"445","The Orphan Trains Trilogy","All My Tomorrows","Al Lacy","Christian Fiction","Historical","Historical Fiction","4.01","212","2022/03/18"
"446","","The Brooklyn Follies","Paul Auster","Fiction","Literature","American","3.85","25383","2022/03/18"
"447","","Moon Palace","Paul Auster","Fiction","Literature","American","3.99","22184","2022/03/18"
"448","","A Tomb for Anatole: Poetry","Stéphane Mallarmé","Poetry","Cultural","France","4.38","160","2022/03/18"
"449","","Timbuktu","Paul Auster","Fiction","Animals","Dogs","3.69","13538","2022/03/18"
"450","","Neon Lit: Paul Auster's City of Glass","Paul Karasik","Sequential Art","Graphic Novels","Sequential Art","3.96","7339","2022/03/18"
"451","","True Tales of American Life","Paul Auster","Nonfiction","Short Stories","Writing","3.88","3253","2022/03/18"
"452","","The Invention of Solitude: A Memoir","Paul Auster","Nonfiction","Autobiography","Memoir","3.77","13060","2022/03/18"
"453","","The Music of Chance","Paul Auster","Fiction","Literature","American","3.91","10715","2022/03/18"
"454","","Travels in the Scriptorium","Paul Auster","Fiction","Novels","Literature","3.25","9767","2022/03/18"
"455","","In the Country of Last Things","Paul Auster","Fiction","Science Fiction","Dystopia","3.9","12388","2022/03/18"
"456","","Leviathan","Paul Auster","Fiction","Novels","Literature","3.96","16643","2022/03/18"
"457","","Auggie Wren's Christmas Story","Paul Auster","Fiction","Short Stories","Holiday","3.85","1724","2022/03/18"
"458","","Oracle Night","Paul Auster","Fiction","Literature","American","3.8","14556","2022/03/18"
"459","","The Random House Book of 20th Century French Poetry","Paul Auster","Poetry","Cultural","France","4.54","169","2022/03/18"
