"","4495","Bridget Jones","Bridget Jones: The Edge of Reason","Helen Fielding","1999","Womens Fiction","Chick Lit","Fiction","3.6","106603","2022/03/23"
"","4496","Bridget Jones","Bridget Jones   The Edge Of Reason","Helen Fielding","1999","Womens Fiction","Chick Lit","Fiction","3.6","106603","2022/03/23"
"","4497","Bridget Jones","Bridget Jones's Diary","Helen Fielding","1996","Fiction","Womens Fiction","Chick Lit","3.79","924073","2022/03/23"
"","4498","","","","","","","","","","2022/03/23"
"","4499","Bridget Jones","Bridget Jones: The Edge of Reason","Helen Fielding","1999","Womens Fiction","Chick Lit","Fiction","3.6","106603","2022/03/23"
"","4500","Bridget Jones","Am Rande des Wahnsinns","Helen Fielding","1999","Womens Fiction","Chick Lit","Fiction","3.6","106603","2022/03/23"
"","4501","","Appetizers Finger Food Buffets and Parties: How to Plan the Perfect Celebration with over 400 Inspiring Appetizers, Snacks, First Courses, Party Dishes and Desserts","Bridget Jones","","Food and Drink","Cookbooks","Food and Drink","3.82","22","2022/03/23"
"","4502","","","","","","","","","","2022/03/23"
"","4503","Bridget Jones","Bridget Jones: No Limite da Razão","Helen Fielding","1999","Womens Fiction","Chick Lit","Fiction","3.6","106603","2022/03/23"
"","4504","Bridget Jones","Grani Raz Umnogo Bridget Jones","Helen Fielding","1996","Fiction","Womens Fiction","Chick Lit","3.79","924073","2022/03/23"
"","4505","","No Shitting In The Toilet","Peter  Moore","1997","Travel","Nonfiction","Humor","3.57","440","2022/03/23"
"","4506","","Sickened: The True Story of a Lost Childhood","Julie Gregory","2003","Nonfiction","Autobiography","Memoir","3.72","18183","2022/03/23"
"","4507","","Sickened: The Memoir of a Munchausen by Proxy Childhood","Julie Gregory","2003","Nonfiction","Autobiography","Memoir","3.72","18183","2022/03/23"
"","4508","","","","","","","","","","2022/03/23"
"","4509","","Killing Pablo: The  Hunt for the World's Greatest Outlaw.","Mark Bowden","","Nonfiction","History","Crime","3.97","16450","2022/03/23"
"","4510","","Matar a Pablo Escobar/Killing Pablo","Mark Bowden","2001","Nonfiction","History","Crime","3.97","16450","2022/03/23"
"","4511","","Killing Pablo: The Hunt for the World's Greatest Outlaw","Mark Bowden","2001","Nonfiction","History","Crime","3.97","16450","2022/03/23"
"","4512","","Killing Pablo: The Hunt for the World's Greatest Outlaw","Mark Bowden","2001","Nonfiction","History","Crime","3.97","16450","2022/03/23"
"","4513","Niebla","El palacio de la medianoche","Carlos Ruiz Zafón","1994","Fantasy","Young Adult","Fiction","3.63","22521","2022/03/23"
"","4514","Addison-Wesley Professional Ruby Series","The Ruby Way: Solutions and Techniques in Ruby Programming","Hal Fulton","2001","Computer Science","Programming","Science","3.9","338","2022/03/23"
"","4515","Niebla","Las luces de septiembre","Carlos Ruiz Zafón","1995","Fantasy","Young Adult","Fiction","3.82","18457","2022/03/23"
"","4516","","Marina","Carlos Ruiz Zafón","","Fiction","Mystery","Young Adult","4.09","56346","2022/03/23"
"","4517","","The Ruby in Her Navel","Barry Unsworth","2006","Historical","Historical Fiction","Fiction","3.39","767","2022/03/23"
"","4518","Niebla","El príncipe de la niebla","Carlos Ruiz Zafón","1993","Fantasy","Young Adult","Fiction","3.76","43827","2022/03/23"
"","4519","","A Framework for Understanding Poverty","Ruby K. Payne","1995","Education","Nonfiction","Teaching","3.91","4725","2022/03/23"
"","4520","Niebla","El príncipe de la niebla","Carlos Ruiz Zafón","1993","Fantasy","Young Adult","Fiction","3.76","43827","2022/03/23"
"","4521","","Beginning Ruby on Rails E-Commerce: From Novice to Professional","Christian Hellsten","2006","Computer Science","Computers","","2.96","26","2022/03/23"
"","4522","Niebla","El Palacio De La Medianoche","Carlos Ruiz Zafón","1994","Fantasy","Young Adult","Fiction","3.63","22521","2022/03/23"
"","4523","Max and Ruby","Goodnight Max","Rosemary Wells","1998","Childrens","Picture Books","Childrens","3.94","192","2022/03/23"
"","4524","El cementerio de los libros olvidados","The Shadow of the Wind","Carlos Ruiz Zafón","2001","Fiction","Historical","Historical Fiction","4.28","541011","2022/03/23"
"","4525","","Ruby for Rails: Ruby Techniques for Rails Developers","David A. Black","","Computer Science","Programming","Science","3.77","179","2022/03/23"
"","4526","El cementerio de los libros olvidados","La sombra del viento","Carlos Ruiz Zafón","2001","Fiction","Historical","Historical Fiction","4.28","541011","2022/03/23"
"","4527","","Ruby on Rails: Up and Running: Up and Running","Bruce A. Tate","2006","Computer Science","Programming","Computer Science","3.23","61","2022/03/23"
"","4528","Max and Ruby","Max and Ruby's Snowy Day","Rosemary Wells","","Childrens","Picture Books","Childrens","3.54","93","2022/03/23"
"","4529","","Cause Celeb","Helen Fielding","1994","Fiction","Womens Fiction","Chick Lit","3.03","6502","2022/03/23"
"","4530","","Olivia Joules and the Overactive Imagination","Helen Fielding","2003","Womens Fiction","Chick Lit","Fiction","3.13","12934","2022/03/23"
"","4531","","Olivia Joules and the Overactive Imagination","Helen Fielding","2003","Womens Fiction","Chick Lit","Fiction","3.13","12934","2022/03/23"
"","4532","","Ricos Y Famosos En Nambula / Cause Celeb (Best Seller)","Helen Fielding","1994","Fiction","Womens Fiction","Chick Lit","3.03","6502","2022/03/23"
