"","6001","","The Works Of Li Po: The Chinese Poet (1922)","Li Bai","1922","Poetry","Cultural","China","4.29","49","2022/03/25"
"","6002","","The Poet Li Po","Chia-yee Yung Teng","1975","","","","5.0","2","2022/03/25"
"","6003","Harry Potter","火盃的考驗","J.K. Rowling","2000","Fantasy","Young Adult","Fiction","4.57","3027201","2022/03/25"
"","6004","","Li Pai: 200 Selected Poems","Li Bai","1981","Poetry","","","4.22","9","2022/03/25"
"","6005","","Ascended Master Dictations 2: Talks with the Masters","Li Bai","2001","","","","0.0","0","2022/03/25"
"","6006","","Ascended Master Dictations: Letters to a Chela","Li Bai","2001","","","","0.0","0","2022/03/25"
"","6007","","Wave Hands Like Clouds: Kuang Ping Tai Chi: A Chinese Yoga of Meditation in Motion","Li Bai","","","","","3.33","3","2022/03/25"
"","6008","","Five T'ang Poets","Wang Wei","859","Poetry","Cultural","China","4.33","201","2022/03/25"
"","6009","","Bright Moon, Perching Birds: Poems","Li Bai","","Poetry","","","3.8","10","2022/03/25"
"","6010","","Endless River","Elizabeth Fackler","2005","","","","2.9","10","2022/03/25"
"","6011","","Endless Rivers: From darkness to light","Douglass Jungquist","","","","","0.0","0","2022/03/25"
"","6012","","The Endless River","Shirley Leighton","2005","","","","0.0","0","2022/03/25"
"","6013","","Beyond the Endless River: Western American Drawings & Watercolors of the Nineteenth Century","James K. Ballinger","","","","","0.0","0","2022/03/25"
"","6014","","The Selected Poems of Tu Fu","Du Fu","1989","Poetry","Cultural","China","4.24","428","2022/03/25"
"","6015","","A Little Primer of Tu Fu","Du Fu","","Poetry","Cultural","China","4.25","28","2022/03/25"
"","6016","","Facing the Snow: Visions of Tu Fu","Penny Kemp","","","","","4.36","11","2022/03/25"
"","6017","Cambridge Studies in Chinese History, Literature and Institutions","Reconsidering Tu Fu: Literary Greatness and Cultural Context","Eva Shan Chou","1995","Cultural","China","Nonfiction","3.0","5","2022/03/25"
"","6018","","Tu Fu: China's Greatest Poet","W. Hung","1969","","","","3.25","4","2022/03/25"
"","6019","","A Supplementary Volume of Notes for Tu Fu: China's Greatest Poet","William Hung","1952","","","","0.0","0","2022/03/25"
"","6020","","The Selected Poems of Tu Fu","Du Fu","1989","Poetry","Cultural","China","4.24","428","2022/03/25"
"","6021","","Tu Fu--A New Translation","Du Fu","","","","","4.0","1","2022/03/25"
"","6022","","I Didn't Notice The Mountain Growing Dark: Poems Of Li Pai And Tu Fu","Li Bai","1988","","","","4.2","5","2022/03/25"
"","6023","","A Summer with Tu Fu: A Sequence of Poems","Hayden Carruth","","","","","4.0","1","2022/03/25"
"","6024","","Chinese Lyricism: Shih Poetry from the Second to the Twelfth Century","Burton Watson","","Poetry","Cultural","China","4.17","12","2022/03/25"
"","6025","","Dunhuang Li Dai Fu Shi Tu An","Shana Chang","","","","","0.0","0","2022/03/25"
"","6026","","Yi Yang Lai Fu","Tu Weiming","","","","","0.0","0","2022/03/25"
