"","8001","Redwall","Triss","Brian Jacques","2002","Fantasy","Fiction","Young Adult","4.0","12311","2022/03/28"
"","8002","","","","","","","","","","2022/03/28"
"","8003","Redwall","Redwall: Der Sturm Auf Die Abtei","Brian Jacques","1986","Fantasy","Fiction","Young Adult","4.12","111361","2022/03/28"
"","8004","Redwall","A Redwall Winter's Tale","Brian Jacques","2001","Fantasy","Childrens","Childrens","4.14","2541","2022/03/28"
"","8005","Redwall","Redwall","Brian Jacques","1986","Fantasy","Fiction","Young Adult","4.12","111361","2022/03/28"
"","8006","Mr. Men & Little Miss Egmont","Little Miss Bossy Saves the Zoo","Roger Hargreaves","1982","Childrens","","","3.75","12","2022/03/28"
"","8007","","Little Miss Splendid's Colors","Roger Hargreaves","1982","","","","4.67","3","2022/03/28"
"","8008","Mr. Men & Little Miss Magic","Little Miss Splendid and the Princess","Roger Hargreaves","2006","Childrens","Fiction","Childrens","3.64","124","2022/03/28"
"","8009","Little Miss Books","Little Miss Splendid","Roger Hargreaves","1981","Childrens","Childrens","Picture Books","3.78","517","2022/03/28"
"","8010","Mr. Men","Mr. Tickle","Roger Hargreaves","1971","Childrens","Childrens","Picture Books","3.97","4983","2022/03/28"
"","8011","Little Miss Books","Little Miss Naughty","Roger Hargreaves","1981","Childrens","Childrens","Picture Books","3.98","1197","2022/03/28"
"","8012","Mr. Men","Mr. Impossible","Roger Hargreaves","1976","Childrens","Childrens","Picture Books","3.96","742","2022/03/28"
"","8013","Mr. Men","Mr. Christmas","Roger Hargreaves","2002","Holiday","Christmas","Childrens","3.72","314","2022/03/28"
"","8014","Mr. Men","Mr. Bump","Roger Hargreaves","1971","Childrens","Childrens","Picture Books","4.05","1996","2022/03/28"
"","8015","","Mr. Happy: Coloring & Activity","Roger Hargreaves","2006","","","","3.8","20","2022/03/28"
"","8016","Little Miss Books","Little Miss Bad","Roger Hargreaves","","Childrens","Childrens","Picture Books","3.84","303","2022/03/28"
"","8017","","My Mr. Men Library Bus","Roger Hargreaves","2001","","","","4.33","15","2022/03/28"
"","8018","Little Miss Books","Little Miss Sunshine","Roger Hargreaves","1981","Childrens","Childrens","Picture Books","3.98","1547","2022/03/28"
"","8019","Little Miss Books","Little Miss Birthday","Roger Hargreaves","2006","Childrens","Picture Books","Childrens","3.98","296","2022/03/28"
"","8020","Little Miss Books","Little Miss Scary","Roger Hargreaves","","Childrens","Childrens","Picture Books","3.76","273","2022/03/28"
"","8021","Little Miss Books","Little Miss Lucky","Roger Hargreaves","1985","Childrens","Childrens","Picture Books","3.79","366","2022/03/28"
"","8022","Mr. Men & Little Miss Magic","Little Miss Naughty and the Good Fairy","Roger Hargreaves","2003","Childrens","Fiction","Childrens","3.96","143","2022/03/28"
"","8023","Mr. Men","Mr. Happy","Roger Hargreaves","1971","Childrens","Childrens","Picture Books","4.0","2255","2022/03/28"
"","8024","Little Miss Books","Little Miss Helpful","Roger Hargreaves","1981","Childrens","Childrens","Picture Books","3.87","802","2022/03/28"
"","8025","Mr. Men","Mr. Cool","Roger Hargreaves","2003","Childrens","Picture Books","Childrens","3.8","325","2022/03/28"
"","8026","","Mr. Small's Holiday!","Roger Hargreaves","","","","","3.9","10","2022/03/28"
"","8027","","Roger Hargreaves - Tell Me about","John Malam","","","","","4.6","5","2022/03/28"
"","8028","","Mr. Tickle's Tickle Time","Roger Hargreaves","","","","","3.77","22","2022/03/28"
"","8029","","Mr. Happy's Smiley Day","Roger Hargreaves","","","","","3.88","17","2022/03/28"
"","8030","","Mr. Happy's Happy Day","Roger Hargreaves","1999","","","","4.5","4","2022/03/28"
"","8031","Mr. Men New Library","Mr. Happy Finds A Hobby","Roger Hargreaves","1998","","","","3.55","62","2022/03/28"
"","8032","Mr. Men & Little Miss Magic","Mr. Jelly and the Pirates","Roger Hargreaves","2006","Childrens","Childrens","Picture Books","3.8","133","2022/03/28"
"","8033","","Mr. Men Giant Lift The Flap","Roger Hargreaves","2000","","","","4.0","9","2022/03/28"
"","8034","","Little Miss Helpful's Visit to the Doctor","Roger Hargreaves","1982","","","","4.33","3","2022/03/28"
"","8035","","Mr. Men Collection (Vol 1)","Roger Hargreaves","","","","","4.34","50","2022/03/28"
"","8036","Mr. Men & Little Miss Magic","Mr. Happy and the Wizard","Roger Hargreaves","1971","Childrens","Fiction","Childrens","4.01","123","2022/03/28"
"","8037","Mr. Men & Little Miss Magic","Little Miss Sunshine and the Wicked Witch","Roger Hargreaves","2005","Childrens","Picture Books","Childrens","3.8","132","2022/03/28"
"","8038","","Mr. Men and Little Miss Picture Dictionary","Roger Hargreaves","1984","","","","5.0","3","2022/03/28"
"","8039","Easy Peasy People","Percy Purr","Roger Hargreaves","1989","","","","4.25","8","2022/03/28"
"","8040","","Things","Roger Hargreaves","1981","","","","4.29","7","2022/03/28"
"","8041","Mr. Men","Mr. Cool","Roger Hargreaves","2003","Childrens","Picture Books","Childrens","3.8","325","2022/03/28"
"","8042","","I Am A Book","Roger Hargreaves","1985","","","","3.67","6","2022/03/28"
"","8043","","Once Upon A Worm","Roger Hargreaves","1982","","","","4.64","11","2022/03/28"
"","8044","","Grandma Baa (Easy Peasy People)","Roger Hargreaves","1989","","","","4.13","8","2022/03/28"
"","8045","","Start to Read","Roger Hargreaves","2006","","","","3.73","11","2022/03/28"
"","8046","","","","","","","","","","2022/03/28"
"","8047","","Bedtime with the Mr. Men","Peter Turrini","","","","","3.55","11","2022/03/28"
"","8048","Easy Peasy People","Bill Buzz","Roger Hargreaves","1989","","","","4.67","3","2022/03/28"
"","8049","Easy Peasy People","Trevor Trunk","Roger Hargreaves","1989","","","","3.67","3","2022/03/28"
"","8050","Easy Peasy People","Sam Squeak","Roger Hargreaves","1989","","","","4.43","7","2022/03/28"
"","8051","Easy Peasy People","Gary Grizzle","Roger Hargreaves","1989","","","","4.33","3","2022/03/28"
"","8052","Mr. Men","Mr. Lazy","Roger Hargreaves","1976","Childrens","Childrens","Picture Books","3.96","715","2022/03/28"
"","8053","Easy Peasy People","Charlie Oink","Roger Hargreaves","1989","","","","4.0","2","2022/03/28"
"","8054","Easy Peasy People","Molly Moo","Roger Hargreaves","1989","Childrens","","","4.38","8","2022/03/28"
"","8055","","","","","","","","","","2022/03/28"
"","8056","Easy Peasy People","Shirly Chirp","Roger Hargreaves","1989","","","","4.29","7","2022/03/28"
"","8057","Hippo-Potto-Mouse Book","Hippo Leaves Home","Roger Hargreaves","","","","","4.17","6","2022/03/28"
"","8058","","Start to Count","Roger Hargreaves","2006","","","","4.5","4","2022/03/28"
"","8059","","Madame Prudente","Roger Hargreaves","","","","","4.08","13","2022/03/28"
"","8060","Little Miss Books","Madame Je-Sais-Tout","Roger Hargreaves","1994","Childrens","Childrens","Picture Books","3.74","295","2022/03/28"
"","8061","Little Miss Books","Little Miss Trouble","Roger Hargreaves","1981","Childrens","Childrens","Picture Books","3.87","799","2022/03/28"
"","8062","","The Poppy Seed Cakes","Margery Clark","1924","Childrens","Fiction","Short Stories","4.2","100","2022/03/28"
"","8063","","Margery Fish's Country Gardening","Timothy Clark","","","","","4.0","5","2022/03/28"
